team,team_id
A&M-Corpus Christi Islanders,26172
Abilene Christian Wildcats,2
Air Force Falcons,721
Akron Zips,5
Alabama A&M Bulldogs,6
Alabama Crimson Tide,8
Alabama St. Lady Hornets,7
Alcorn Lady Braves,17
American Eagles,23
App State Mountaineers,27
Arizona St. Sun Devils,28
Arizona Wildcats,29
Ark.-Pine Bluff Lady Lions,2678
Arkansas Razorbacks,31
Arkansas St. Red Wolves,30
Army West Point Black Knights,725
Auburn Tigers,37
Austin Peay Governors,43
BYU Cougars,77
Ball St. Cardinals,47
Baylor Bears,51
Bellarmine Knights,52
Belmont Bruins,14927
Binghamton Bearcats,62
Boise St. Broncos,66
Boston College Eagles,67
Boston U. Terriers,68
Bowling Green Falcons,71
Bryant Bulldogs,81
Bucknell Bison,83
Buffalo Bulls,86
Butler Bulldogs,87
CSU Bakersfield Roadrunners,94
CSUN Matadors,101
Cal Poly Mustangs,90
Cal St. Fullerton Titans,97
California Baptist Lancers,30135
California Golden Bears,107
Campbell Camels,115
Canisius Golden Griffins,116
Central Ark. Bears,1004
Central Conn. St. Blue Devils,127
Central Mich. Chippewas,129
Charleston So. Buccaneers,48
Charlotte 49ers,458
Chattanooga Mocs,693
Chicago St. Cougars,136
Cincinnati Bearcats,140
Clemson Tigers,147
Cleveland St. Vikings,148
Coastal Carolina Chanticleers,149
Col. of Charleston Cougars,1014
Colgate Raiders,153
Colorado Buffaloes,157
Colorado Col. Tigers,154
Colorado St. Rams,156
Creighton Bluejays,169
Davidson Wildcats,173
Dayton Flyers,175
DePaul Blue Demons,176
Delaware Blue Hens,180
Delaware St. Hornets,178
Denver Pioneers,183
Detroit Mercy Titans,184
Drake Bulldogs,189
Drexel Dragons,191
Duke Blue Devils,193
Duquesne Dukes,194
ETSU Buccaneers (Bucs),198
East Carolina Pirates,196
Eastern Ill. Panthers,201
Eastern Ky. Colonels,202
Eastern Mich. Eagles,204
Eastern Wash. Eagles,207
Elon Phoenix,1068
Evansville Purple Aces,219
FDU Knights,222
FGCU Eagles,28755
FIU Panthers,231
Fairfield Stags,220
Fla. Atlantic Owls,229
Florida Gators,235
Florida St. Seminoles,234
Fordham Rams,236
Fresno St. Bulldogs,96
Furman Paladins,244
Ga. Southern Eagles,253
Gardner-Webb Runnin' Bulldogs,1092
George Mason Patriots,248
George Washington Revolutionaries,249
Georgetown Hoyas,251
Georgia Bulldogs,257
Georgia St. Panthers,254
Gonzaga Bulldogs,260
Grambling Lady Tigers,261
Grand Canyon Lopes,1104
Green Bay Phoenix,794
Hampton Lady Pirates,270
Hawaii Rainbow Wahine,277
High Point Panthers,19651
Hofstra Pride,283
Holy Cross Crusaders,285
Houston Christian Huskies,287
Houston Cougars,288
Howard Bison,290
IU Indy Jaguars,2699
Idaho St. Bengals,294
Idaho Vandals,295
Illinois Fighting Illini,301
Illinois St. Redbirds,299
Indiana Hoosiers,306
Indiana St. Sycamores,305
Iona Gaels,310
Iowa Hawkeyes,312
Iowa St. Cyclones,311
Jackson St. Lady Tigers,314
Jacksonville Dolphins,316
Jacksonville St. Gamecocks,315
James Madison Dukes,317
Kansas City Roos,2707
Kansas Jayhawks,328
Kansas St. Wildcats,327
Kennesaw St. Owls,1157
Kent St. Golden Flashes,331
Kentucky Wildcats,334
LIU Sharks,361
LMU (CA) Lions,370
LSU Tigers,365
La Salle Explorers,340
Lafayette Leopards,342
Lamar University Cardinals,346
Le Moyne Dolphins,349
Lehigh Mountain Hawks,352
Liberty Lady Flames,355
Lindenwood Lions,30136
Lipscomb Bisons,28600
Little Rock Trojans,32
Long Beach St. Beach,99
Longwood Lancers,363
Louisiana Ragin' Cajuns,671
Louisiana Tech Lady Techsters,366
Louisville Cardinals,367
Loyola Chicago Ramblers,371
Loyola Maryland Greyhounds,369
Maine Black Bears,380
Marist Red Foxes,386
Marquette Golden Eagles,387
Marshall Thundering Herd,388
"Maryland Terrapins, Terps",392
Massachusetts Minutewomen,400
McNeese Cowgirls,402
Memphis Tigers,404
Mercer Bears,406
Merrimack Warriors,410
Miami (FL) Hurricanes,415
Miami (OH) RedHawks,414
Michigan St. Spartans,416
Michigan Wolverines,418
Middle Tenn. Blue Raiders,419
Milwaukee Panthers,797
Minnesota Golden Gophers,428
Mississippi St. Bulldogs,430
Mississippi Val. Devilettes,432
Missouri St. Bears,669
Missouri Tigers,434
