team,url,ncaa_id,division
Bethany (WV),https://www.bethanybison.com/sports/msoc/index,588449,III
Framingham State,https://www.fsurams.com/sports/msoc/index,588511,III
Hanover,https://athletics.hanover.edu/sports/msoc/index,1115,III
Hope,https://athletics.hope.edu/sports/msoc/index,286,III
Huntingdon,https://www.huntingdonhawks.com/sports/msoc/index,588296,III
Kalamazoo,https://hornets.kzoo.edu/sports/msoc/index,326,III
LaGrange,https://www.lagrangepanthers.com/sports/msoc/index,1162,III
Mass. Maritime,https://www.mmabucs.com/sports/msoc/index,588577,III
MCLA,https://athletics.mcla.edu/sports/msoc/index,588600,III
Merchant Marine,https://usmmasports.com/sports/msoc/index,588267,III
Middlebury,https://athletics.middlebury.edu/sports/msoc/index,420,III
Mitchell,https://www.mitchellathletics.com/sports/msoc/index,588405,III
Olivet,https://www.olivetcomets.com/sports/msoc/index,588206,III
Penn St. Brandywine,https://www.psubrandywineathletics.com/sports/msoc/index,593225,III
Penn St.-Altoona,https://www.psaltoonalions.com/sports/msoc/index,588397,III
Penn St.-Berks,https://psuberksathletics.com/sports/mens-soccer,588406,III
Pomona-Pitzer,https://sagehens.com/sports/msoc/index,549,III
Rivier,https://www.rivierathletics.com/sports/msoc/index,588387,III
Saint Joseph (CT),https://www.usjbluejays.com/sports/msoc/index,588337,III
Salve Regina,https://www.salveathletics.com/sports/msoc/index,623,III
Simpson,https://www.simpsonathletics.com/sports/msoc/index,588250,III
St. Joseph's (L.I.),https://sjliathletics.com/sports/msoc/index,1340,III
SUNY Geneseo,https://geneseoknights.com/sports/msoc/index,247,III
SUNY Poly,https://wildcats.sunypoly.edu/sports/msoc/index,588376,III
Texas Lutheran,https://tlubulldogs.com/sports/msoc/index,588317,III
Transylvania,https://transysports.com/sports/msoc/index,588602,III
Trine,https://www.trinethunder.com/sports/msoc/index,30037,III
Wilmington (OH),http://www.wilmingtonquakers.com/sports/msoc/index,1461,III
Wisconsin-Platteville,https://letsgopioneers.com/sports/msoc/index,588350,III
Wooster,https://www.woosterathletics.com/sports/msoc/index,588354,III
