jersey,name,url,position,class,hometown,high_school,team,division,season
00,Luke Tomas,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/tomas_luke_actv,GK,Sr.,"Stamford, Conn.","Academy of Information, Technology, and Engineering",Albertus Magnus,III,2024
0,Darwin Calvopina,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/calvopina_darwin_xfmn,GK,Fr.,"West Haven, Conn.",West Haven,Albertus Magnus,III,2024
1,David Lucero,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lucero_david_o4hs,GK,Jr.,"East Haven, Conn.",East Haven,Albertus Magnus,III,2024
2,Dylan Madera,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/madera_dylan_nqzz,M,So.,"Norwalk, Conn.",Brien McMahon,Albertus Magnus,III,2024
3,Joao Oliveira,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/oliveira_joao_h36l,D,Jr.,"Middletown, Conn.",Middletown,Albertus Magnus,III,2024
4,Phillip Pires,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/pires_phillip_oqqi,D,Jr.,"Trumbull, Conn.",Trumbull,Albertus Magnus,III,2024
5,EJ Gonzalez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gonzalez_ej_7rg4,D,Sr.,"Cheshire, Conn.",Cheshire,Albertus Magnus,III,2024
6,Elijah French,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/french_elijah_7gi3,M,Sr.,"Tallahassee, Fla.",Bloomfield (Conn.),Albertus Magnus,III,2024
7,Aiden Coelho,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/coelho_aiden_xv65,F/M,Jr.,"Naugatuck, Conn.",Holy Cross,Albertus Magnus,III,2024
8,Morgan Stone,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/stone_morgan_1ohb,F/M,So.,"Wallingford, Conn.",Lyman Hall,Albertus Magnus,III,2024
9,Roger Baldwin,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/baldwin_roger_anjs,M,Sr.,"New Haven, Conn.",Wilbur Cross,Albertus Magnus,III,2024
10,Johan Stagnaro,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/stagnaro_johan_80ba,M,Sr.,"East Hartford, Conn.",East Hartford,Albertus Magnus,III,2024
11,Anthony Barreira,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/barreira_anthony_bng8,M/F,Gr.,"Trumbull, Conn.",Trumbull,Albertus Magnus,III,2024
12,Shawn Lungu,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lungu_shawn_0bt5,M,Fr.,"Newington, Conn.",Newington,Albertus Magnus,III,2024
13,Colby Nardelli,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/nardelli_colby_xrhf,M/D,So.,"Berlin, Conn.",Berlin,Albertus Magnus,III,2024
14,Elian Nava,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/nava_elian_u2vy,M,Jr.,"Meriden, Conn.",Platt,Albertus Magnus,III,2024
15,Gabriel Paglia,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/paglia_gabriel_sy6d,D,Sr.,"Amity, Conn.",Amity,Albertus Magnus,III,2024
16,Casey Rintharamy,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/rintharamy_casey_jfpm,D,Jr.,"Meriden, Conn.",Platt,Albertus Magnus,III,2024
17,McWill Adu-Asare,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/mcwill_adu-asare_38tt,F,So.,"East Hartford, Conn.",East Hartford,Albertus Magnus,III,2024
18,Dorian Wilczynski,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/wilcynzi_dorian_lzmi,M,So.,"Bristol, Conn.",Bristol Central,Albertus Magnus,III,2024
19,Nickolas Korponay,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/korponay_nickolas_khmp,F,Fr.,"Hamden, Conn.",Hamden,Albertus Magnus,III,2024
