team,division,season,ncaa_id,height,major,jersey,name,url,position,class,hometown,high_school
Albertus Magnus,III,2024,588331,,,00,Luke Tomas,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/tomas_luke_actv,GK,Sr.,"Stamford, Conn.","Academy of Information, Technology, and Engineering"
Albertus Magnus,III,2024,588331,,,0,Darwin Calvopina,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/calvopina_darwin_xfmn,GK,Fr.,"West Haven, Conn.",West Haven
Albertus Magnus,III,2024,588331,,,1,David Lucero,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/lucero_david_o4hs,GK,Jr.,"East Haven, Conn.",East Haven
Albertus Magnus,III,2024,588331,,,2,Dylan Madera,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/madera_dylan_nqzz,M,So.,"Norwalk, Conn.",Brien McMahon
Albertus Magnus,III,2024,588331,,,3,Joao Oliveira,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/oliveira_joao_h36l,D,Jr.,"Middletown, Conn.",Middletown
Albertus Magnus,III,2024,588331,,,4,Phillip Pires,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/pires_phillip_oqqi,D,Jr.,"Trumbull, Conn.",Trumbull
Albertus Magnus,III,2024,588331,,,5,EJ Gonzalez,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/gonzalez_ej_7rg4,D,Sr.,"Cheshire, Conn.",Cheshire
Albertus Magnus,III,2024,588331,,,6,Elijah French,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/french_elijah_7gi3,M,Sr.,"Tallahassee, Fla.",Bloomfield (Conn.)
Albertus Magnus,III,2024,588331,,,7,Aiden Coelho,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/coelho_aiden_xv65,F/M,Jr.,"Naugatuck, Conn.",Holy Cross
Albertus Magnus,III,2024,588331,,,8,Morgan Stone,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/stone_morgan_1ohb,F/M,So.,"Wallingford, Conn.",Lyman Hall
Albertus Magnus,III,2024,588331,,,9,Roger Baldwin,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/baldwin_roger_anjs,M,Sr.,"New Haven, Conn.",Wilbur Cross
Albertus Magnus,III,2024,588331,,,10,Johan Stagnaro,https://www.albertusfalcons.com/sports/msoc/2024-25/bios/stagnaro_johan_80ba,M,Sr.,"East Hartford, Conn.",East Hartford
