team,url,ncaa_id,division
Academy of Art,https://artuathletics.com/sports/mens-soccer,30123,II
Adams St.,https://asugrizzlies.com/sports/mens-soccer,588069,II
Adelphi,https://aupanthers.com/sports/mens-soccer,3,II
Adrian,https://adrianbulldogs.com/sports/mens-soccer,588431,III
Air Force,https://goairforcefalcons.com/sports/mens-soccer,721,I
Akron,https://gozips.com/sports/mens-soccer,5,I
Alabama Huntsville,https://uahchargers.com/sports/mens-soccer,588198,II
Albany,https://ualbanysports.com/sports/mens-soccer,14,I
Albertus Magnus,https://www.albertusfalcons.com/sports/msoc/index,588331,III
Albion,https://gobrits.com/sports/mens-soccer,15,III
Albright,https://albrightathletics.com/sports/mens-soccer,16,III
Alfred,https://gosaxons.com/sports/mens-soccer,18,III
Alfred State,https://alfredstateathletics.com/sports/mens-soccer,588335,III
Allegheny,https://alleghenygators.com/sports/mens-soccer,19,III
Alma,https://almascots.com/sports/mens-soccer,21,III
Alvernia,https://auwolves.com/sports/mens-soccer,938,III
American,https://aueagles.com/sports/mens-soccer,23,I
American Int'l,https://www.aicyellowjackets.com/sports/msoc/index,588199,II
Amherst,https://athletics.amherst.edu/sports/mens-soccer,588438,III
Anderson (IN),https://aua.prestosports.com/sports/msoc/index,939,III
Anderson (SC),https://autrojans.com/sports/mens-soccer,13028,II
Anna Maria,https://www.goamcats.com/sports/msoc/index,588439,III
Arcadia,https://arcadiaknights.com/sports/mens-soccer,966,III
Army,https://goarmywestpoint.com/sports/mens-soccer,725,I
Asbury,https://asburyeagles.com/sports/mens-soccer,588540,III
Ashland,https://goashlandeagles.com/sports/mens-soccer,35,II
Assumption,https://assumptiongreyhounds.com/sports/mens-soccer,36,II
Augsburg,https://athletics.augsburg.edu/sports/mens-soccer,38,III
Augustana (IL),https://athletics.augustana.edu/sports/mens-soccer,588441,III
AUM,https://aumathletics.com/sports/mens-soccer,30093,II
Aurora,https://athletics.aurora.edu/sports/mens-soccer,42,III
Austin,https://acroos.com/sports/msoc/index,588361,III
Averett,https://averettcougars.com/sports/mens-soccer,44,III
Azusa Pacific,https://athletics.apu.edu/sports/mens-soccer,588168,II
Babson,https://babsonathletics.com/sports/mens-soccer,45,III
Baldwin Wallace,https://bwyellowjackets.com/sports/mens-soccer,46,III
Bard,https://bardathletics.com/sports/mens-soccer,962,III
Barry,https://gobarrybucs.com/sports/mens-soccer,49,II
Barton,https://bartonbulldogs.com/sports/mens-soccer,588139,II
Baruch,https://athletics.baruch.cuny.edu/sports/mens-soccer,58,III
Bates,https://gobatesbobcats.com/sports/mens-soccer,50,III
Belhaven,https://blazers.belhaven.edu/sports/mens-soccer,30197,III
Bellarmine,https://athletics.bellarmine.edu/sports/mens-soccer,52,I
Belmont,https://belmontbruins.com/sports/mens-soccer,14927,I
Belmont Abbey,https://abbeyathletics.com/sports/mens-soccer,2683,II
Beloit,https://beloitcollegeathletics.com/sports/mens-soccer,588447,III
Benedictine (IL),https://benueagles.com/sports/mens-soccer,296,III
Bentley,https://bentleyfalcons.com/sports/mens-soccer,56,II
Berea,https://bereaathletics.com/sports/mens-soccer,30171,III
Berry,https://www.berryvikings.com/sports/mens-soccer,973,III
Bethany (WV),https://www.bethanybison.com/sports/msoc/index,588449,III
Bethany Lutheran,https://blcvikings.com/sports/mens-soccer,30038,III
Bethel (MN),https://athletics.bethel.edu/sports/mens-soccer,60,III
Binghamton,https://bubearcats.com/sports/mens-soccer,62,I
Biola,https://athletics.biola.edu/sports/mens-soccer,30220,II
Blackburn,https://www.blackburnbeavers.com/sports/msoc/index,588451,III
Bloomfield,https://bcbearsathletics.com/sports/mens-soccer,588071,II
Bloomsburg,https://buhuskies.com/sports/mens-soccer,65,II
Bluffton,https://blufftonbeavers.com/sports/msoc/index,588366,III
Boston,https://goterriers.com/sports/mens-soccer,68,I
Boston College,https://bceagles.com/sports/mens-soccer,67,I
Bowdoin,https://athletics.bowdoin.edu/sports/mens-soccer,69,III
Bowling Green,https://bgsufalcons.com/sports/mens-soccer,71,I
Bradley,https://bradleybraves.com/sports/mens-soccer,72,I
Brandeis,https://brandeisjudges.com/sports/mens-soccer,73,III
Brevard,https://bctornados.com/sports/mens-soccer,588430,III
Bridgeport,https://www.ubknights.com/sports/msoc/index,588006,II
Bridgewater (VA),https://bridgewatereagles.com/sports/mens-soccer,75,III
Bridgewater State,https://www.bsubears.com/sports/msoc/index,588455,III
Brooklyn,https://www.brooklyncollegeathletics.com/sports/mens-soccer,588457,III
Brown,https://brownbears.com/sports/mens-soccer,80,I
Bryant,https://bryantbulldogs.com/sports/mens-soccer,81,I
Bryn Athyn,https://brynathynathletics.com/sports/mens-soccer,30188,III
Bucknell,https://bucknellbison.com/sports/mens-soccer,83,I
Buena Vista,https://bvuathletics.com/sports/mens-soccer,84,III
Buffalo State,https://buffalostateathletics.com/sports/mens-soccer,588459,III
Butler,https://butlersports.com/sports/mens-soccer,87,I
Cairn,https://www.cairnhighlanders.com/sports/mens-soccer,1305,III
Cal Lutheran,https://clusports.com/sports/mens-soccer,588462,III
Cal Poly,https://gopoly.com/sports/mens-soccer,90,I
Cal Poly Humboldt,https://humboldtathletics.com/sports/mens-soccer,588028,II
Cal Poly Pomona,https://broncoathletics.com/sports/mens-soccer,588007,II
Cal St. Dom. Hills,https://gotoros.com/sports/mens-soccer,92,II
Cal St. East Bay,https://eastbaypioneers.com/sports/mens-soccer,98,II
Cal St. Monterey Bay,https://otterathletics.com/sports/mens-soccer,30055,II
Cal St. San Bernardino,https://www.csusbathletics.com/sports/mens-soccer,93,II
Cal St. San Marcos,https://csusmcougars.com/sports/mens-soccer,30198,II
Cal State Bakersfield,https://gorunners.com/sports/mens-soccer,94,I
Cal State Fullerton,https://fullertontitans.com/sports/mens-soccer,97,I
Cal State LA,https://lagoldeneagles.com/sports/mens-soccer,100,II
Cal U (PA),https://calvulcans.com/sports/mens-soccer,106,II
Caldwell,https://caldwellathletics.com/sports/mens-soccer,995,II
California,https://calbears.com/sports/mens-soccer,107,I
California Baptist,https://cbulancers.com/sports/mens-soccer,30135,I
Caltech,https://gocaltech.com/sports/mens-soccer,89,III
Calvin,https://calvinknights.com/sports/mens-soccer,114,III
Campbell,https://gocamels.com/sports/mens-soccer,115,I
Canisius,https://gogriffs.com/sports/mens-soccer,116,I
Capital,https://athletics.capital.edu/sports/mens-soccer,117,III
Carleton,https://athletics.carleton.edu/sports/mens-soccer,118,III
Carlow,https://athletics.carlow.edu/sports/msoc/index,594992,III
Carnegie Mellon,https://athletics.cmu.edu/sports/msoc/index,588467,III
Carroll (WI),https://gopios.com/sports/mens-soccer,588468,III
Carson-Newman,https://www.cneagles.com/sports/m-soccer/index,588073,II
Carthage,https://athletics.carthage.edu/sports/mens-soccer,121,III
Catawba,https://www.catawbaathletics.com/sports/msoc/index,588074,II
Catholic,https://catholicathletics.com/sports/mens-soccer,124,III
CCNY,https://ccnyathletics.com/sports/mens-soccer,480,III
Cedarville,https://yellowjackets.cedarville.edu/sports/mens-soccer,30124,II
Centenary (LA),https://www.gocentenary.com/sports/msoc/index,588473,III
Centenary (NJ),https://centenarycyclones.com/sports/mens-soccer,12884,III
Central (IA),https://athletics.central.edu/sports/mens-soccer,588474,III
Central Arkansas,https://ucasports.com/sports/mens-soccer,587863,I
Central Connecticut State,https://ccsubluedevils.com/sports/msoc/index,587919,I
Central Florida,https://ucfknights.com/sports/mens-soccer,128,I
Centre,https://centrecolonels.com/sports/mens-soccer,132,III
Chaminade,https://goswords.com/sports/mens-soccer,588015,II
Chapman,https://athletics.chapman.edu/sports/mens-soccer,588476,III
Charleston (WV),https://ucgoldeneagles.com/sports/mens-soccer,1013,II
Charlotte,https://charlotte49ers.com/sports/mens-soccer,458,I
Chatham,https://gochathamcougars.com/sports/mens-soccer,10972,III
Chestnut Hill,https://griffinathletics.com/sports/mens-soccer,21323,II
Chicago State,https://www.gocsucougars.com/sports/mens-soccer,136,I
Chico St.,https://chicowildcats.com/sports/mens-soccer,588010,II
Chowan,https://gocuhawks.com/sports/mens-soccer,8875,II
Chris. Newport,https://www.cnusports.com/sports/mens-soccer,139,III
Christian Brothers,https://cbubucs.com/sports/mens-soccer,1015,II
Claremont-M-S,https://www.cmsathletics.org/sports/mens-soccer,142,III
Clark (MA),https://clarkathletics.com/sports/mens-soccer,145,III
Clarkson,https://clarksonathletics.com/sports/mens-soccer,146,III
Clayton St.,https://claytonstatesports.com/sports/msoc/index,588141,II
Clemson,https://clemsontigers.com/sports/mens-soccer/,147,I
Cleveland State,https://csuvikings.com/sports/mens-soccer,148,I
Coast Guard,https://coastguardathletics.com/sports/mens-soccer,722,III
Coastal Carolina,https://goccusports.com/sports/mens-soccer,587923,I
Coe,https://kohawkathletics.com/sports/mens-soccer,150,III
Coker,https://www.cokercobras.com/sports/msoc/index,588077,II
