ncaa_id,team,season,division,jersey,name,position,height,class,major,hometown,high_school,previous_school,url
588449,Bethany (WV),2024,III,2,Lucas Conde,M,5-4,Sr.,,"""Moron, Buenos Aires, Argentina""",INAC-CIATA,,https://www.bethanybison.com/sports/msoc/2024-25/bios/conde_lucas_mh6g
588449,Bethany (WV),2024,III,3,Leonardo Locatelli,D,5-7,Sr.,,"""Caba, Argentina""",Colegio San Miguel,,https://www.bethanybison.com/sports/msoc/2024-25/bios/locatelli_leonardo_qgqe
588449,Bethany (WV),2024,III,4,Benjamin Coker-Hernandez,D,5-10,Fr.,,"""New Orleans, La.""",Military & Maritime Act.,,https://www.bethanybison.com/sports/msoc/2024-25/bios/coker-hernandez_benjamin_avvh
588449,Bethany (WV),2024,III,5,Santiago Bruni,D,5-9,Sr.,,"""Escobar, Buenos Aires, Argentina""",Colegio Arrayanes,,https://www.bethanybison.com/sports/msoc/2024-25/bios/bruni_santiago_27jc
588449,Bethany (WV),2024,III,6,Michilo Reggies,D,6-2,Sr.,,"""Liberta Village, Antigua""",Antigua State College,,https://www.bethanybison.com/sports/msoc/2024-25/bios/reggies_michilo_owyu
588449,Bethany (WV),2024,III,7,Joel Salomone-Gomez,M,5-5,Sr.,,"""Buenos Aires, Argentina""",Instituto Madera,,https://www.bethanybison.com/sports/msoc/2024-25/bios/salomone-gomez_joel_y7wq
588449,Bethany (WV),2024,III,8,Taivier Stewart,F,5'10,Sr.,,"""Toronto, Canada""",Niagara Community College (Canada),,https://www.bethanybison.com/sports/msoc/2024-25/bios/stewart_taivier_4p42
588449,Bethany (WV),2024,III,9,Pablo Aguilera,M,5-7,Jr.,,"""Madrid, Spain""",Brains International,,https://www.bethanybison.com/sports/msoc/2024-25/bios/aguilera_pablo_9tic
588449,Bethany (WV),2024,III,10,Pedro Chillemi,M,5-5,Sr.,,"""Buenos Aires, Argentina""",Campus Lincoln,,https://www.bethanybison.com/sports/msoc/2024-25/bios/chillemi_pedro_2zkz
588449,Bethany (WV),2024,III,11,Defrante Braithwaite,F,5-9,Jr.,,"""All Saints, Antigua""",Princess Margaret,,https://www.bethanybison.com/sports/msoc/2024-25/bios/braithwaite_defrante_mmff
588449,Bethany (WV),2024,III,13,Matias Caurtango,GK,5-9,Sr.,,"""Pergamino, Argentina""",Colegio San Jose Maristas,,https://www.bethanybison.com/sports/msoc/2024-25/bios/caurtango_matias_1bs3
588449,Bethany (WV),2024,III,14,Nahuel Vivas,D,5-7,Jr.,,"""Salta, Argentina""",Colegio Parroquial San Alfonso,,https://www.bethanybison.com/sports/msoc/2024-25/bios/vivas_nahuel_qj8g
588449,Bethany (WV),2024,III,16,Jacari Cruz,D,5-9,Fr.,,"""Waldorf, Md.""",Westlake,,https://www.bethanybison.com/sports/msoc/2024-25/bios/cruz_jacari_sblu
588449,Bethany (WV),2024,III,17,Jaheem Sheppard,F,5-8,Jr.,,"""St. John's, Antigua""",Antigua Grammar,,https://www.bethanybison.com/sports/msoc/2024-25/bios/sheppard_jaheem_hrbc
588449,Bethany (WV),2024,III,18,Paul Sanyang,M,5-8,So.,,"""Leesburg, Va.""",Heritage,,https://www.bethanybison.com/sports/msoc/2024-25/bios/sanyang_paul_jgtg
588449,Bethany (WV),2024,III,19,Hunter Atkinson,D,5-10,Fr.,,"""Troutville, Va.""",Lord Botetourt,,https://www.bethanybison.com/sports/msoc/2024-25/bios/atkinson_hunter_iymf
