ncaa_id,team,season,division,jersey,name,position,height,class,major,hometown,high_school,previous_school,url
14,Albany,2025,I,0,Alexander Genz,Goalkeeper,"6'4""",Fr.,,"Oldenburg, Lower Saxony, Germany",,,https://www.ualbanysports.com/sports/mens-soccer/roster/alexander-genz/10990
14,Albany,2025,I,1,Kodai Tsuzuki,Goalkeeper,"6'4""",Sr.,,"Takahama, Japan",,,https://www.ualbanysports.com/sports/mens-soccer/roster/kodai-tsuzuki/10973
14,Albany,2025,I,2,William Bruce,Defense,"6'0""",Gr.,,"Monroe, Ohio",,,https://www.ualbanysports.com/sports/mens-soccer/roster/william-bruce/10991
14,Albany,2025,I,3,Ethan Cook,Defense,"6'3""",Jr.,,"Ballston Spa, N.Y.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/ethan-cook/10974
14,Albany,2025,I,4,Lucas Watt,Defense,"5'9""",Gr.,,"Kuujjuaq, Québec, Canada",,,https://www.ualbanysports.com/sports/mens-soccer/roster/lucas-watt/10975
14,Albany,2025,I,5,Roko Branko Mrvelj,Midfield,"6'3""",Fr.,,"Langen, Germany",,,https://www.ualbanysports.com/sports/mens-soccer/roster/roko-branko-mrvelj/10992
14,Albany,2025,I,6,Benedikt Rachor,Defense,"6'2""",Fr.,,"Bad Soden, Germany",,,https://www.ualbanysports.com/sports/mens-soccer/roster/benedikt-rachor/10993
14,Albany,2025,I,7,Ivar Gissurarson,Midfield,"6'5""",Jr.,,"Reykjavik, Iceland",,,https://www.ualbanysports.com/sports/mens-soccer/roster/ivar-gissurarson/10976
14,Albany,2025,I,8,Caleb Vallance,Midfield,"5'11""",Sr.,,"Powell River, British Columbia, Canada",,,https://www.ualbanysports.com/sports/mens-soccer/roster/caleb-vallance/10977
14,Albany,2025,I,9,David Barkan,Midfield,"5'11""",Fr.,,"Creskill, N.J.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/david-barkan/11151
14,Albany,2025,I,10,Marius Brandmayr,Midfield,"6'1""",Fr.,,"Gampern, Austria",,,https://www.ualbanysports.com/sports/mens-soccer/roster/marius-brandmayr/10994
14,Albany,2025,I,11,Andre Navas,Forward,"6'0""",Jr.,,"St. Cloud, Fla.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/andre-navas/10995
14,Albany,2025,I,12,Shawn Tanaka,Forward,"5'10""",So.,,"Tokyo, Japan",,,https://www.ualbanysports.com/sports/mens-soccer/roster/shawn-tanaka/10996
14,Albany,2025,I,13,Andrej Krivokapic,Goalkeeper,"6'2""",Jr.,,"Niksic, Montenegro",,,https://www.ualbanysports.com/sports/mens-soccer/roster/andrej-krivokapic/10997
14,Albany,2025,I,14,Jordan Shullenberger,Midfield,"6'1""",So.,,"Waterbury, Vt.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/jordan-shullenberger/10979
14,Albany,2025,I,15,Isaac Filippo,Forward,"6'0""",Gr.,,"Saint Joseph, Mich.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/isaac-filippo/10998
14,Albany,2025,I,16,Alexander Clive,Midfield,"6'0""",Fr.,,"Selfoss, Iceland",,,https://www.ualbanysports.com/sports/mens-soccer/roster/alexander-clive/10999
14,Albany,2025,I,17,John Fragakis,Defense,"6'2""",Gr.,,"Sydney, Australia",,,https://www.ualbanysports.com/sports/mens-soccer/roster/john-fragakis/11000
14,Albany,2025,I,18,Owen Tuttle,Defense,"6'5""",Fr.,,"Camas, Wash.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/owen-tuttle/11001
14,Albany,2025,I,19,Omar Galan,Midfield,"5'10""",Fr.,,"La Feria, Texas",,,https://www.ualbanysports.com/sports/mens-soccer/roster/omar-galan/11002
14,Albany,2025,I,20,Brennan McDermott,Midfield,"6'1""",So.,,"Rochester, N.Y.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/brennan-mcdermott/10980
14,Albany,2025,I,21,Tommy McFadden,Forward,"6'0""",Fr.,,"Reading, Pa.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/tommy-mcfadden/11003
14,Albany,2025,I,22,Rodrigo Hermelo,Defense,"6'4""",So.,,"Guadalajara, Spain",,,https://www.ualbanysports.com/sports/mens-soccer/roster/rodrigo-hermelo/11004
14,Albany,2025,I,23,Breckin Fett,Midfield,"5'11""",So.,,"Anchorage, Alaska",,,https://www.ualbanysports.com/sports/mens-soccer/roster/breckin-fett/10981
14,Albany,2025,I,24,Marcos Villanueva,Midfield,"6'1""",So.,,"San Juan, Puerto Rico",,,https://www.ualbanysports.com/sports/mens-soccer/roster/marcos-villanueva/10978
14,Albany,2025,I,25,Zach Lind,Forward,"6'0""",Jr.,,"Niskayuna, N.Y.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/zach-lind/10982
14,Albany,2025,I,26,David Pepple,Defense,"6'0""",So.,,"Calgary, Alberta, Canada",,,https://www.ualbanysports.com/sports/mens-soccer/roster/david-pepple/11005
14,Albany,2025,I,27,Luca Grilla,Defense,"5'10""",So.,,"Orlando, Fla.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/luca-grilla/10983
14,Albany,2025,I,28,David Medina,Defense,"5'10""",Jr.,,"Yonkers, N.Y.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/david-medina/11006
14,Albany,2025,I,30,Kevin Gil,Goalkeeper,"6'1""",Fr.,,"Revere, Mass.",,,https://www.ualbanysports.com/sports/mens-soccer/roster/kevin-gil/11007
23,American,2025,I,0,Juan Carlos Alvarez,,"6'3""",Jr.,,"McAllen, Texas",,,https://www.aueagles.com/sports/mens-soccer/roster/juan-carlos-alvarez/7114
23,American,2025,I,2,Jonah Fogel,,"5'10""",Sr.,,"Brooklyn, N.Y.",Shattuck-St. Mary's,,https://www.aueagles.com/sports/mens-soccer/roster/jonah-fogel/7122
23,American,2025,I,3,Rex-Emmanuel Cobbina,,"5'10""",So.,,"Toronto, Ontario",York Mills Collegiate Institute,,https://www.aueagles.com/sports/mens-soccer/roster/rex-emmanuel-cobbina/7116
23,American,2025,I,4,Nicholas Beil,Forward,"6'4""",Fr.,,"Waldorf, Md.",North Point,,https://www.aueagles.com/sports/mens-soccer/roster/nicholas-beil/7186
23,American,2025,I,5,Kobe Keomany,,"5'9""",So.,,"White Marsh, Md.",McDonogh School,,https://www.aueagles.com/sports/mens-soccer/roster/kobe-keomany/7126
23,American,2025,I,6,Taku Takahashi,,"5'9""",Gr.,,"Miyagi, Japan",Sendai,,https://www.aueagles.com/sports/mens-soccer/roster/taku-takahashi/7139
23,American,2025,I,7,Chris Sullivan,,"5'6""",So.,,"Southampton, N.Y.",Southampton,,https://www.aueagles.com/sports/mens-soccer/roster/chris-sullivan/7138
23,American,2025,I,8,Tim Schliemann,,"5'10""",Sr.,,"Berlin, Germany",,,https://www.aueagles.com/sports/mens-soccer/roster/tim-schliemann/7134
23,American,2025,I,9,Colin O'Brien,,"6'1""",So.,,"Hoboken, N.J.",St. Peter's Prep,,https://www.aueagles.com/sports/mens-soccer/roster/colin-o-brien/7129
23,American,2025,I,10,Mustapha Sowe,,"5'10""",Gr.,,"East Newark, N.J.",Harrison,,https://www.aueagles.com/sports/mens-soccer/roster/mustapha-sowe/7137
23,American,2025,I,11,Patryk Rojek,,"5'11""",So.,,"Chicago, Ill.",Taft,,https://www.aueagles.com/sports/mens-soccer/roster/patryk-rojek/7133
23,American,2025,I,12,Moad Ezzahir,,"5'11""",So.,,"Springfield, Va.",John R. Lewis,,https://www.aueagles.com/sports/mens-soccer/roster/moad-ezzahir/7121
23,American,2025,I,13,Finn O'Brien,,"6'0""",Fr.,,"Burlingame, California",Burlingame,,https://www.aueagles.com/sports/mens-soccer/roster/finn-o-brien/7182
23,American,2025,I,15,Mason Miller,,"6'0""",Fr.,,"Las Vegas, Nev.",Grapevine/SAI Academy,,https://www.aueagles.com/sports/mens-soccer/roster/mason-miller/7324
23,American,2025,I,16,Sebastian Garces,,"5'9""",Sr.,,"Bethlehem, Pa.",Freedom,,https://www.aueagles.com/sports/mens-soccer/roster/sebastian-garces/7123
23,American,2025,I,17,Reyes Parra,,"5'7""",Jr.,,"Round Lake, Ill.",Shattuck-St. Mary's,,https://www.aueagles.com/sports/mens-soccer/roster/reyes-parra/7131
23,American,2025,I,18,Alex Workman,,"5'11""",Fr.,,"Denver, Colo.",Denver East,,https://www.aueagles.com/sports/mens-soccer/roster/alex-workman/7144
23,American,2025,I,20,Paulino Paz,,"6'0""",So.,,"La Paz, Bolivia",,,https://www.aueagles.com/sports/mens-soccer/roster/paulino-paz/7187
23,American,2025,I,21,Lars Larsen,,"5'9""",Fr.,,"Taipei, Taiwan",Spring Lake Park,,https://www.aueagles.com/sports/mens-soccer/roster/lars-larsen/7185
23,American,2025,I,22,Toshi Davis,,"5'8""",Sr.,,"Baltimore, Md.",Towson,,https://www.aueagles.com/sports/mens-soccer/roster/toshi-davis/7117
23,American,2025,I,23,Ian Webb-Johnson,,"6'3""",Jr.,,"Westwood, Mass.",TECCA Connections Academy,,https://www.aueagles.com/sports/mens-soccer/roster/ian-webb-johnson/7141
23,American,2025,I,24,Owen Edsell,,"6'1""",Jr.,,"Montclair, N.J.",Montclair,,https://www.aueagles.com/sports/mens-soccer/roster/owen-edsell/7119
23,American,2025,I,26,Oliver Snowdon,,"5'8""",So.,,"Lorton, Va.",Shattuck-St. Mary's,,https://www.aueagles.com/sports/mens-soccer/roster/oliver-snowdon/7136
23,American,2025,I,27,Javi Gonzalez,,"5'9""",So.,,"Woodside, N.Y.",Maspeth,,https://www.aueagles.com/sports/mens-soccer/roster/javi-gonzalez/7124
23,American,2025,I,28,Brian Ramos,,"5'10""",Fr.,,"Silver Spring, Md.",Albert Einstein,,https://www.aueagles.com/sports/mens-soccer/roster/brian-ramos/7183
23,American,2025,I,30,Troy Elgersma,,"6'3""",Sr.,,"Redlands, Calif.",Redlands,,https://www.aueagles.com/sports/mens-soccer/roster/troy-elgersma/7120
23,American,2025,I,31,Evan Tubbs,,"6'0""",Fr.,,"Tolland, Conn.",TPH Academy,,https://www.aueagles.com/sports/mens-soccer/roster/evan-tubbs/7184
23,American,2025,I,32,Matthew Tibbetts,,"6'2""",Sr.,,"Westborough, Mass.",K12 Private Academy,,https://www.aueagles.com/sports/mens-soccer/roster/matthew-tibbetts/7140
52,Bellarmine,2025,I,0,Peter Van Euwen,Goalkeeper,"5'11""",Gr.,,"Avon Lake, OH",St. Ignatius,Ohio State University,https://www.bellarmine.edu/sports/mens-soccer/roster/peter-van-euwen/9577
52,Bellarmine,2025,I,1,Tudor Iordan,Goalkeeper,"6'3""",Jr.,,"Laval, Quebec, Canada",College Bois-de-Boulogne,,https://www.bellarmine.edu/sports/mens-soccer/roster/tudor-iordan/9563
52,Bellarmine,2025,I,2,Cade Morgan,Midfielder,"5'10""",R-Jr.,,"West Chester, OH",Lakota West,,https://www.bellarmine.edu/sports/mens-soccer/roster/cade-morgan/9571
52,Bellarmine,2025,I,3,Colin Mackey,Midfielder,"5'11""",R-Jr.,,"Indianapolis, IN",North Central,DePaul University,https://www.bellarmine.edu/sports/mens-soccer/roster/colin-mackey/9860
52,Bellarmine,2025,I,4,Rhys Davies,Defender,"6'1""",Sr.,,"Waipu, New Zealand",Auckland Grammar School,McKendree University,https://www.bellarmine.edu/sports/mens-soccer/roster/rhys-davies/9553
52,Bellarmine,2025,I,5,Braden Griffin,Defender,"6'2""",R-Jr.,,"Zeeland, MI",West Ottawa,Bradley University/Drake University,https://www.bellarmine.edu/sports/mens-soccer/roster/braden-griffin/9559
52,Bellarmine,2025,I,7,Bartosz Wojda,Forward,"5'11""",Fr.,,"Chicago, IL",William H. Taft,,https://www.bellarmine.edu/sports/mens-soccer/roster/bartosz-wojda/9816
52,Bellarmine,2025,I,8,Brendan Schoemehl,Midfielder,"6'1""",R-Sr.,,"St. Louis, MO",De Smet Jesuit,,https://www.bellarmine.edu/sports/mens-soccer/roster/brendan-schoemehl/9574
52,Bellarmine,2025,I,9,Alex Halevy,Forward,"6'2""",R-Jr.,,"Bakersfield, CA",Garces Memorial,DePaul University,https://www.bellarmine.edu/sports/mens-soccer/roster/alex-halevy/9560
52,Bellarmine,2025,I,10,Ethan Jacobs,Midfielder,"5'10""",Jr.,,"Bay Village, OH",Bay,"California State University, Dominguez Hills",https://www.bellarmine.edu/sports/mens-soccer/roster/ethan-jacobs/9564
52,Bellarmine,2025,I,11,Johan Nissen-Lie,Forward,"6'4""",So.,,"Asker, Norway",Donski Videregaende Skole,,https://www.bellarmine.edu/sports/mens-soccer/roster/johan-nissen-lie/9572
52,Bellarmine,2025,I,12,Tate McCrery,Midfielder,"6'2""",R-Jr.,,"Louisville, KY",Ballard,,https://www.bellarmine.edu/sports/mens-soccer/roster/tate-mccrery/9570
52,Bellarmine,2025,I,13,Sawyer Gribble,Defender,"6'4""",R-Fr.,,"Versailles, KY",Woodford County,,https://www.bellarmine.edu/sports/mens-soccer/roster/sawyer-gribble/9558
52,Bellarmine,2025,I,14,Jackson Jones,Midfielder,"6'2""",So.,,"Carmel, IN",Carmel,,https://www.bellarmine.edu/sports/mens-soccer/roster/jackson-jones/9565
52,Bellarmine,2025,I,15,Bennett Kirn,Forward,"6'2""",R-Jr.,,"Lexington, KY",Lexington Catholic,,https://www.bellarmine.edu/sports/mens-soccer/roster/bennett-kirn/9566
52,Bellarmine,2025,I,16,Luke Gonda,Defender,"6'0""",R-Fr.,,"Schaumburg, IL",Schaumburg,,https://www.bellarmine.edu/sports/mens-soccer/roster/luke-gonda/9557
52,Bellarmine,2025,I,17,James Gardev,Defender,"6'0""",Sr.,,"Lexington, KY",Shattuck-Saint Mary's,Radford University,https://www.bellarmine.edu/sports/mens-soccer/roster/james-gardev/9556
52,Bellarmine,2025,I,18,Max Murphy,Midfielder,"5'8""",Fr.,,"Cincinnati, OH",Mariemont,,https://www.bellarmine.edu/sports/mens-soccer/roster/max-murphy/9812
52,Bellarmine,2025,I,19,John Carleton,Midfielder,"6'0""",Fr.,,"Marietta, GA",Hillgrove,,https://www.bellarmine.edu/sports/mens-soccer/roster/john-carleton/9809
